"vintage_sheet","vintage_date","date","forecast_horizon","version","food_at","services","core_gds","food_at_qoq_fc","services_qoq_fc","core_gds_qoq_fc","food_at_yoy","services_yoy","core_gds_yoy","energy_yoy","MPR_cpi","estimated_food","estimated_services","estimated_core","food","services_contrib","core","energy","cpi_bottom_up","cpi_resid"
"M23",2023 Q2,2025 Q4,10,"V0",142.884373973082,139.002950741323,121.321742435759,1.16284932559434,0.972229480406941,-0.107750097227563,3.63297992002334,3.7370050452715,-0.46905646083486,1.89518306015701,1.01568312919493,0.549119828739639,1.87162441665057,-0.134320556010991,0.549119828739639,1.87162441665057,-0.942151870903208,-0.462909245292069,1.01568312919493,0
"M23",2023 Q2,2026 Q1,11,"V0",144.465953760191,140.391703456655,121.209930080787,1.10689485710101,0.999081464044656,-0.0921618439756416,3.83483765225838,3.85208174363978,-0.444975446117279,1.25621259115762,1.06047198991615,0.561428924589307,1.99589144049366,-0.123311565962991,0.561428924589307,1.99589144049366,-1.06995365217287,-0.42689472299395,1.06047198991614,2.22044604925031e-16
"M23",2023 Q2,2026 Q2,12,"V0",146.067856405805,141.925893628935,121.109600085527,1.10884440514829,1.09279261844264,-0.0827737423766372,4.32892996872623,4.0091630141629,-0.402797343897898,7.80967285182115,1.15008518232917,0.63536094754692,2.07821620049737,-0.111378138036958,0.63536094754692,2.07821620049737,-1.21123839511167,-0.35225357060345,1.15008518232917,0
"M23",2023 Q2,2023 Q2,0,"V1",132.502744307328,127.300462019994,119.993305688872,3.01271918111556,1.14333585241002,1.24826177059839,13.6734336020722,5.94158073190583,5.62025418302854,7.05057011078409,7.88261749828001,2.20142280993363,2.76877662106812,1.64673447562736,2.27417363774755,2.97934734008233,1.77913194487879,0.849964575571343,7.88261749828001,0
"M23",2023 Q2,2023 Q3,1,"V1",133.998755572575,128.529183369851,120.98951335596,1.12904172141327,0.965213582386273,0.830219370463627,10.7370386874182,5.27057210284552,5.10032218841303,-3.43193522548599,6.74870665406591,1.72866322867433,2.45608659992601,1.49439440120502,1.91296438615475,2.98952970170165,1.82979961326567,0.016412952943836,6.74870665406591,0
"M23",2023 Q2,2023 Q4,2,"V1",136.014565103542,129.648324996894,121.65518595354,1.50434944142072,0.870729586619872,0.550190325686124,8.74248172927157,4.1850572985318,4.23968089083848,-18.1603615939704,4.99218227190159,1.40753955841272,1.95023670111582,1.24222650101568,1.64309637879287,2.63203470296146,1.67091065239072,-0.953859462243461,4.99218227190159,0
"M23",2023 Q2,2024 Q1,3,"V1",136.45700341667,130.724098424483,121.97068163971,0.325287451965683,0.829762688885866,0.259335994349211,5.90884965674521,3.79073400237058,2.875009827802,-15.1533177129671,4.31137226131186,0.897330711380919,1.85919063666486,0.823670573931121,1.09401778600883,2.49441455424487,1.19472741799685,-0.471787496938689,4.31137226131186,0
"M23",2023 Q2,2024 Q2,4,"V1",136.93366625851,131.76111497369,122.059193767441,0.349313578567449,0.793286441983575,0.0725683635948514,3.28932637120189,3.44404130535523,1.70701665795185,-17.6096195055291,3.32281874436742,0.500951249028564,1.68786885028545,0.487983998500368,0.663970896616264,2.21246101530909,0.793982482676393,-0.347595650234332,3.32281874436742,0
"M23",2023 Q2,2024 Q3,5,"V1",137.245669425713,132.803195309152,122.008836337797,0.227849860247918,0.790886093875632,-0.041256564204708,2.39420143020634,3.27123113290071,0.838959574741782,-14.3293743857223,2.86735077264062,0.364627301014705,1.60317738429028,0.239832954151646,0.439374723699228,1.84371226996973,0.38013872941241,0.204125049559249,2.86735077264062,0
"M23",2023 Q2,2024 Q4,6,"V1",137.786575047118,133.90426586893,121.892146620084,0.394114891689082,0.829099448409072,-0.0956403824635494,1.29439540216785,3.22995183286254,0.19459112018394,-8.55669617634991,2.24990008913482,0.197131242168554,1.58294706806624,0.0556276662314229,0.245289007305924,1.73791726122975,0.146022924419014,0.120670896180128,2.24990008913482,0
"M23",2023 Q2,2025 Q1,7,"V1",139.030799698795,135.086535963782,121.750486287166,0.903008621305704,0.882921904825201,-0.116217768614434,1.86859174324763,3.28265969035515,-0.180694532468628,-7.68668571440143,1.50470906631206,0.281304154240425,1.64427865837742,-0.0518875191655614,0.267634813895223,1.59879709398448,-0.0779612832506469,-0.283761558316993,1.50470906631206,0
"M23",2023 Q2,2025 Q2,8,"V1",139.879590397913,136.348405544812,121.598410133928,0.610505514574097,0.934119430946295,-0.124908045852938,2.12853632745427,3.42228673927654,-0.378222698932174,-0.859145024344254,1.08630298748862,0.321725285943854,1.71400234798026,-0.108309100201124,0.264994240631547,1.52602233512267,-0.215790673620141,-0.488922914645453,1.08630298748862,-2.22044604925031e-16
"M23",2023 Q2,2025 Q3,9,"V1",141.241942991549,137.664535542712,121.452607738683,0.973946656378338,0.965269812023547,-0.119904853266437,2.87018001938417,3.59515260380521,-0.456934418516042,2.54180408147091,1.00737987505921,0.43382369167789,1.80057969238782,-0.130849247969835,0.333090044265313,1.46679574337779,-0.321697325253397,-0.470808587330497,1.00737987505921,0
"M23",2023 Q2,2025 Q4,10,"V1",142.884373973082,139.002950741323,121.321742435759,1.16284932559434,0.972229480406941,-0.107750097227563,3.63297992002334,3.7370050452715,-0.46905646083486,1.89518306015701,1.01568312919493,0.549119828739639,1.87162441665057,-0.134320556010991,0.418994690337134,1.44045088449828,-0.380853200348407,-0.462909245292069,1.01568312919493,4.44089209850063e-16
"M23",2023 Q2,2026 Q1,11,"V1",144.465953760191,140.391703456655,121.209930080787,1.10689485710101,0.999081464044656,-0.0921618439756416,3.83483765225838,3.85208174363978,-0.444975446117279,1.25621259115762,1.06047198991615,0.561428924589307,1.99589144049366,-0.123311565962991,0.414251361392421,1.47501438357602,-0.401899032058347,-0.42689472299395,1.06047198991614,4.44089209850063e-16
"M23",2023 Q2,2026 Q2,12,"V1",146.067856405805,141.925893628935,121.109600085527,1.10884440514829,1.09279261844264,-0.0827737423766372,4.32892996872623,4.0091630141629,-0.402797343897898,7.80967285182115,1.15008518232917,0.63536094754692,2.07821620049737,-0.111378138036958,0.46393033734925,1.47275624526039,-0.434347829677017,-0.35225357060345,1.15008518232917,2.22044604925031e-16
"M23",2023 Q2,2023 Q2,0,"V2",132.502744307328,127.300462019994,119.993305688872,3.01271918111556,1.14333585241002,1.24826177059839,13.6734336020722,5.94158073190583,5.62025418302854,7.05057011078409,7.88261749828001,2.20142280993363,2.76877662106812,1.64673447562736,2.46701010926164,2.80675869788901,1.75888411555802,0.849964575571343,7.88261749828001,0
"M23",2023 Q2,2023 Q3,1,"V2",133.998755572575,128.529183369851,120.98951335596,1.12904172141327,0.965213582386273,0.830219370463627,10.7370386874182,5.27057210284552,5.10032218841303,-3.43193522548599,6.74870665406591,1.72866322867433,2.45608659992601,1.49439440120502,2.40148095665192,2.5523073706299,1.77850537384025,0.016412952943836,6.7487066540659,8.88178419700125e-16
"M23",2023 Q2,2023 Q4,2,"V2",136.014565103542,129.648324996894,121.65518595354,1.50434944142072,0.870729586619872,0.550190325686124,8.74248172927157,4.1850572985318,4.23968089083848,-18.1603615939704,4.99218227190159,1.40753955841272,1.95023670111582,1.24222650101568,2.26747341267855,2.07321725702438,1.60535106444212,-0.953859462243461,4.99218227190159,8.88178419700125e-16
"M23",2023 Q2,2024 Q1,3,"V2",136.45700341667,130.724098424483,121.97068163971,0.325287451965683,0.829762688885866,0.259335994349211,5.90884965674521,3.79073400237058,2.875009827802,-15.1533177129671,4.31137226131186,0.897330711380919,1.85919063666486,0.823670573931121,1.66586177793486,1.96909952945813,1.14819845085756,-0.471787496938689,4.31137226131186,8.88178419700125e-16
"M23",2023 Q2,2024 Q2,4,"V2",136.93366625851,131.76111497369,122.059193767441,0.349313578567449,0.793286441983575,0.0725683635948514,3.28932637120189,3.44404130535523,1.70701665795185,-17.6096195055291,3.32281874436742,0.500951249028564,1.68786885028545,0.487983998500368,1.13573162976957,1.77864983735338,0.756032927478799,-0.347595650234332,3.32281874436742,-4.44089209850063e-16
"M23",2023 Q2,2024 Q3,5,"V2",137.245669425713,132.803195309152,122.008836337797,0.227849860247918,0.790886093875632,-0.041256564204708,2.39420143020634,3.27123113290071,0.838959574741782,-14.3293743857223,2.86735077264062,0.364627301014705,1.60317738429028,0.239832954151646,0.655685453410507,1.64480208973221,0.362738179938653,0.204125049559249,2.86735077264062,0
